period,date,one,two,three,four,five,six,special,
100000012,2011-02-11,36,03,45,34,07,04,24,
100000011,2011-02-08,31,39,05,06,23,41,16,
100000010,2011-02-04,10,49,47,42,41,33,03,
100000009,2011-02-01,06,17,25,42,40,01,15,
100000008,2011-01-28,18,03,42,24,13,04,47,
100000007,2011-01-25,12,39,21,31,13,17,20,
100000006,2011-01-21,39,32,43,36,37,02,03,
100000005,2011-01-18,15,40,42,38,47,46,17,
100000004,2011-01-14,20,32,39,16,17,45,46,
100000003,2011-01-11,07,12,20,11,14,10,41,
100000002,2011-01-07,34,35,13,47,11,49,20,
100000001,2011-01-04,19,14,37,23,47,35,42,
099000105,2010-12-31,09,04,39,38,27,36,02,
099000104,2010-12-28,36,13,17,02,27,31,18,
099000103,2010-12-24,48,27,16,49,43,39,01,
099000102,2010-12-21,23,38,12,35,45,01,26,
099000101,2010-12-17,41,09,30,35,28,25,12,
099000100,2010-12-14,15,41,16,20,32,17,08,
099000099,2010-12-10,17,22,26,33,29,01,03,
099000098,2010-12-07,30,37,38,49,21,22,34,
099000097,2010-12-03,38,23,17,48,33,43,19,
099000096,2010-11-30,07,24,08,36,34,38,16,
099000095,2010-11-26,22,23,44,35,18,49,26,
099000094,2010-11-23,02,26,03,32,48,30,41,
099000093,2010-11-19,43,03,40,45,44,06,41,
099000092,2010-11-16,02,10,07,12,43,15,22,
099000091,2010-11-12,39,10,37,03,23,36,15,
099000090,2010-11-09,21,31,30,05,36,07,49,
099000089,2010-11-05,47,28,16,05,08,13,46,
099000088,2010-11-02,05,34,36,39,04,21,28,
099000087,2010-10-29,27,19,13,04,28,26,33,
099000086,2010-10-26,03,43,22,35,14,44,26,
099000085,2010-10-22,01,18,49,13,04,08,03,
099000084,2010-10-19,36,12,21,35,27,37,08,
099000083,2010-10-15,46,28,30,01,20,11,10,
099000082,2010-10-12,31,08,09,20,10,40,25,
099000081,2010-10-08,39,48,14,41,11,03,06,
099000080,2010-10-05,14,16,32,21,43,35,49,
099000079,2010-10-01,23,37,12,38,48,08,20,
099000078,2010-09-28,03,04,32,19,22,40,11,
099000077,2010-09-24,36,08,02,29,42,44,22,
099000076,2010-09-21,01,22,45,39,35,38,08,
099000075,2010-09-17,24,35,12,39,13,34,14,
099000074,2010-09-14,19,44,26,02,01,22,03,
099000073,2010-09-10,41,10,18,42,14,49,24,
099000072,2010-09-07,04,08,43,16,03,41,22,
099000071,2010-09-03,05,07,38,47,18,20,37,
099000070,2010-08-31,04,20,07,31,43,23,47,
099000069,2010-08-27,27,14,47,30,42,08,29,
099000068,2010-08-24,06,45,47,30,08,48,29,
099000067,2010-08-20,08,28,21,44,38,33,27,
099000066,2010-08-17,06,18,19,14,20,42,09,
099000065,2010-08-13,36,02,22,30,48,13,09,
099000064,2010-08-10,24,25,40,28,03,38,11,
099000063,2010-08-06,19,47,22,28,10,21,39,
099000062,2010-08-03,03,25,49,15,13,29,09,
099000061,2010-07-30,14,11,08,36,12,23,45,
099000060,2010-07-27,38,33,44,49,15,03,30,
099000059,2010-07-23,43,49,42,15,08,22,07,
099000058,2010-07-20,23,29,05,43,27,22,47,
099000057,2010-07-16,17,16,32,20,18,45,09,
099000056,2010-07-13,02,31,34,05,08,15,12,
099000055,2010-07-09,24,35,32,11,25,33,23,
099000054,2010-07-06,05,21,48,43,25,11,31,
099000053,2010-07-02,23,32,45,07,20,10,17,
099000052,2010-06-29,01,04,11,48,20,18,05,
099000051,2010-06-25,47,11,27,24,46,39,20,
099000050,2010-06-22,15,09,36,26,42,28,40,
099000049,2010-06-18,48,26,02,05,15,20,08,
099000048,2010-06-15,27,02,04,20,17,44,24,
099000047,2010-06-11,42,43,20,21,27,01,26,
099000046,2010-06-08,46,40,42,24,08,25,10,
099000045,2010-06-04,39,27,28,15,11,37,04,
099000044,2010-06-01,02,40,05,15,35,28,01,
099000043,2010-05-28,20,43,19,03,26,18,10,
099000042,2010-05-25,01,30,43,32,20,34,03,
099000041,2010-05-21,44,12,27,16,47,04,39,
099000040,2010-05-18,33,03,06,27,14,28,05,
099000039,2010-05-14,16,28,47,06,21,03,18,
099000038,2010-05-11,42,45,11,13,33,29,02,
099000037,2010-05-07,38,23,49,28,19,32,20,
099000036,2010-05-04,15,35,04,32,34,23,18,
099000035,2010-04-30,44,35,37,39,08,36,20,
099000034,2010-04-27,34,35,12,48,14,16,43,
099000033,2010-04-23,47,45,04,30,03,49,27,
099000032,2010-04-20,07,41,23,32,02,21,42,
099000031,2010-04-16,34,31,01,24,40,30,43,
099000030,2010-04-13,14,49,46,34,42,12,25,
099000029,2010-04-09,49,36,40,04,05,29,26,
099000028,2010-04-06,09,23,31,28,27,41,44,
099000027,2010-04-02,48,06,21,41,01,16,12,
099000026,2010-03-30,16,46,47,49,37,41,14,
099000025,2010-03-26,36,17,19,09,23,35,34,
099000024,2010-03-23,37,22,35,48,11,28,49,
099000023,2010-03-19,08,22,49,18,05,29,47,
099000022,2010-03-16,26,36,39,46,37,41,04,
099000021,2010-03-12,38,31,35,18,23,19,22,
099000020,2010-03-09,12,36,16,07,14,05,04,
